,Text,Labelled_topic
111,"I drink a LOT of tea. I probably drink around 14 cups a day, and I drink the good stuff. All whole leaf, quality, loose-tea. So I know a good cup of tea when I see one.  These are the ONLY bottles of tea that are of FANTASTIC quality.  Ito-En makes amazing stuff, and this is my absolute favorite tea from them. The price is excellent and the drink is SO healthy; I have it delivered once a month, every month.  HIGHLY recommended. :)",5
119,"I ordered the 6 month ice cream of the month club for my wife's birthday.  She received her first shipment today and none of the 4 ice creams that were sent matched the sheet they included explaining the ice creams (you could have bought several of the ice creams, such as butter pecan or mint chocolate chip, in your local grocery store).  When I called the 800 number I was told that occasionally they reserve the right to change the ice cream if it doesn't ""meet their quality"" guidelines.  When I told her none of the four ice creams that we received matched the overview sheet from amazingclubs, the customer service rep was rude and told me that I needed to call back and talk to someone in their ""support group"" (note: you must call before 6:00 PM EST to speak to someone in this group). I would seriously caution you to shell out more than $300 for this club.",5
123,"I have tried a number of Senseo pods, and this is my favorite.  It is very smooth.  It tastes like coffee from a coffee house (rather than a Senseo).",5
127,"I think this is a great tasting product,use in coffee every day.I am saying goo-bye to white sugar!!",5
133,"I'm a big coffee drinker (much against my better judgement), but due to a stomach condition, I've been ""forced"" to drink mostly decaf for the last few years. I usually just get the cheapest coffee I can find near my office; after all, I don't make a lot of money and every penny counts. So it was nice to get this Melitta Cafe ground coffee to sample.  When I made my first cup, I was immediately attacted by the pleasant aroma. I put in a little cream and 4 Splendas as I usually do, and found the taste a little on the light side yet quite bitter. Maybe it's because this is decaf, but what I did like was its pureness, something 50-cent coffees usually lack. I have made two cups a day since my first taste and over the last couple of days I've grown to like this coffee. Granted, to me coffee is pretty much like wine in that all the different varieties taste more or less the same except for the level of bitterness, but even I can tell this is gourmet coffee, much better than the ones I get at my local coffee stands or even at McDonald's (when they give out free cups).  For a pack of 3, the price seems decent. If you drink decaf, I think this is quite worth a try.",5
135,"Works well, taste is good, about to order a new box.  If you are a diabetic this is nice to have around the house or office.",5
139,"Caused my cuisinart k-cup brewer to leak every time I used it.  Great idea, just needs some adjustments so that the coffee maker works properly with it.",5
143,"I've been fan of celestial seasonings teas for some time and this is one of my favorites. Something strange happens in the packing because flavour differs a lot from one box to another: the one I'm tasting right now has a lot of cinnamon, while others have a better balance of ingredients. Eventhough they all are great teas and the 5 star rating suits them well.",5
148,"this has a great taste, is good on mufins or toast, also great on vanilla ice cream. excellent! Will buy again",5
150,"Fantastic espresso beans!  I usually drink Illy, but thought I would give this a 'shot'... and I was not disappointed! This has a slightly smokier flavor than the Illy roasts, produces a NICE crema, and is ultra smooth.  In short, give this a try.  Highly recommended for my fellow coffee heads out there...",5
168,"If any of you read Kim Harrison - you will know that Al always orders a latte with raspberry syrup and extra cinnamon.  I tried this drink at Starbucks and it was wonderful.  I have an espresso machine at home and thought I could save a lot of time and money making this drink on my own.  This syrup was perfect!  It tastes wonderful, both in my coffee and also on ice cream!",5
176,"My wife likes flavored coffee and this is, by far, her favorite. Great taste. Medium brew. Excellent value too. We order this brew regularly. Guests enjoy this coffee as wel.",5
194,"If this was called ""Medium Roast"", I would give it 4 stars. It's a good coffee.  But this is called French Vanilla Caramel, and this review is based on the product's name.  Let me say that vanilla and caramel are perhaps my favorite flavors... coffee, ice cream, candy, you name it... if it's vanilla or caramel, I love it.  With the exception of this.  Where's the vanilla? Where's the caramel? And don't get me wrong: I'm not trying to say that the flavors are too mild. I'm saying that they are NON-EXISTENT. And therefore, based on the name, this coffee gets 1 star.",5
195,We have been paying big bucks for little cans of Rooibos tea at the health food store and brewing ice tea with it that we drink by the gallon. I was surprised that the Davidson's Rooibos was richer and tastier and brewed up a nice clear amber/brown color. Better quality and less expensive!,5
201,"This is the first time we bought this tea from Amazon, we used to get it directly from Revolution Tea. I don't know if that made any difference, or if it was just a change in the tea's composition (along with the packaging), but what used to be my wife's favorite tea now has a metallic smell and aftertaste, with much less of a pomegranate flavor and now a strong, almost cheap-generic-green-tea flavor. Really disappointing, especially since we're stuck with six boxes.",5
203,"This tea is really quite good. It is a quality black tea with a subtle cinnamon flavoring. Definitely one of my favorites!  As with many food items sold on Amazon, I would recommend trying a single box from your local retailer (if you can find it) before committing to a whole six-pack. Once you know you like it, however, the value of this offering really can't be beat anywhere!",5
205,Grove Square Cappuccino Cups were excellent. Tasted really good right from the Keurig brewer with nothing added.  wWould highly recommend.  RCCJR,5
207,"I love this stuff. I brew several pitchers of iced tea from it every day, and it has become my standard beverage. Now, I've had plenty of white teas from the various folks who mass produce them (like Lipton), but this is the first time I've bought it loose, and brewed it up myself, rather than pre-brewed or in tea bag form.  So, point is, I'm an amateur. I don't have experience with other loose leaf white teas to compare. But I find this stuff divine. It's mild, yet tasty, and I don't ever get any caffeine effects that I notice. Now, if you need something to wake up in the morning, I could see that being a problem. But as something I drink all day long, I definitely don't want to have to worry about getting jittery or cutting myself off at a particular point in the evening. I've never had a hard time going to sleep after drinking this tea, and that's great in my book. There is some debate as to whether white tea has lower caffeine content than other teas (like black teas), but I can only go by personal experience. And, personally, I find that black teas like English Breakfast, when I brew them up, give me a very noticeable caffeine kick. This does not in any way.  This tea seems great. I wish I had the expertise to know whether I'm enjoying something that really *is* awesome, or some shoddy imposter that, y'know, simply makes me very happy to drink but has no real quality to it. I suspect this is pretty decent quality, and I hope once the two pounds run out, to try some other brand (at least in a limited quantity) to see how they stack up to one another.  Oh, and a side note -- turns out throwing out your first, brief steep will not make the rest caffeine-free. Read more here, if you're interested: [...]  Also, one of my favorite aspects of this white tea (and I assume it's true of most white teas) is that there is almost *no* bitterness. Black tea isn't exactly like tonic water, but it does have a bit of a bitter taste, and I found that I really enjoyed it once that bitterness was gone. Even though I didn't know or think that black tea was unpleasantly bitter, I now notice it quite a bit. A case of one of those ""You don't know what you could've done without until it's gone"" sorts of things, I guess.  Happy brewing!",5
209,I've been drinking lots and lots of tea over the past few months as I work through a low carb diet regime.  I had been buying varieties at the grocery store and decided it would be economical to simply buy a large sampler.  With that in mind I randomly chose Bentley's Finest Tea Classic Collection.  I couldn't have been more pleased with the quality of the tea.  The peach tea is in fact my favorite in the collection but the English Breakfast Tea made me a fan of that flavor where I never had been before.  I'll be watching for other tea collections from Bentley's.,5
211,"Like most coffee drinkers, I know Kona is a special coffee bean, and this brand offers great taste. At my local coffee shop, I often pick Kona when it is offered as the flavor of the day. While the coffee shop Kona is better than an average coffee, it did not seem to be anything special, and I could guess they do not sell true Kona, but a blend.  So I decided to try a true 100% Kona and picked Hawaiian Roasters.  I am very happy with this purchase---might be the best coffee I have ever had.  The flavor is strong and there is no after-taste issue.  I picked the medium roast and I plan to try the dark roast next.",5
215,"This is my very favorite tea!  It has a nice, strong  blackberry taste.  A must-try for berry lovers like me.",5
221,"Saw this on Oprah's favorite things and thought it would make a great little Christmas gift for my friends that love cooking as much as I do. Since they come in packages of three, I kept one and gave two away. I couldn't open mine to clean it, so my husband had to open it and he had a hard time. I thought it was just too tight from the factory. My basil looked great after ten days. But when I went to use the basil, I could not open the pod. Husband not home...neighbor not home...dog missing thumbs. I tried lightly rapping it against the counter edge and the seam cracked right down the middle. (Okay, maybe a little harder than 'lightly,' I was pretty frustrated.) Luckily I had emptied the water, so I only had a small mess to clean up. The pod went into the garbage...forcefully. I checked with my friends. Friend #1 had the same problem and her pod is now a rooting capsule for plant clippings because she had to throw away the clear cover...it also broke when she squeezed the pod to try to open it. Friend #2 has now been warned. There were no special tips included on how to open the pod and judging from comments I've read, we're not the only ones who have had this problem. I think this was designed by the same guy that invented the  security wrapping/tape on music CDs! I've gone back to my old method...a wide-mouth mayo jar with pretty hair band holdingdown a circle of fabric...it works!",5
222,Have been getting this coffee for several months and very much like their bold flavor in comparison to others I've tried. Keep it air tight after opening is not a big deal. great coffee!,5
230,"Loose prickly pear tea makes a great iced tea but it is very difficult to find in pure form.  This tea is black tea with prickly pear ""flavor"". The shipping cost is twice the cost of the tea.  If there is a prickly pear component it is all but undetectable when I drink it. It just tastes like regular black tea.  Very disappointing.",5
241,"I expected the flavor to be more like that of ""brewed"" green tea. It really does taste like dried green tea leaves simply dissolved in water. Although I'm sure this is probably a good way to get a concentrated amount of antioxidants, I wouldn't order this again.",5
248,"I've long been a fan of the Maxwell House International Coffee line, so I was excited to try this flavor.  If you are a fan of other pumpkin spice drinks at unnamed large coffee chains, you will definitely like this product.  I like that you are able to add the amount that you want, and the mix blends very nicely and evenly.  This is a perfect treat for a cold winter's night!",5
251,"We didn't like the taste of this sort. We are from Europe, American style coffee isn't what we like.  After this we tried ""Coffee Bean Direct Brazilian Santos, Whole Bean Coffee, 5-Pound Bag"", this was much better.",5
253,"If you like coffee with overtones of nuts, and are fond of pecans, you need to try this coffee. Mrs. Bryants Southern Pecan Organic coffee is a real treat with a genuine pecan flavoring. Try some with a slice of you favorite pecan pie!",5
259,"This is by far the best tea I have ever had to drink.  I purchased my first cup at a Barnes and Nobles and could not wait to get home to find the tea on the internet and order.  Try it, if you like cinnamon you will love this tea.  Great hot or cold.",5
278,This is one of my fav flavors so far. Do not let the word CREAM fool you. There is very little cream to these but they are still very flavorfull. I add either French Vanilla powdered cream or liquid cream to this and it's great. I have it on a regular basis. The flavor does not get old or eventually give you an aftertaste.,5
279,I usually get orange and spice tea (not decaf)for hot tea and I was not sure about these flavors but I LOVE THEM and they are caffeine free! These will make great stocking stuffers for Christmas too!  I'm going to have to order more soon!,5
282,Not nearly as good tasting as the other kcup ciders I've had. My girlfriend hated it too. They are going to find the garbage can.,5
285,"Uncle purchase K-Cup Keurig brewer for my office.  My staff and I love it.  No arguments about who is going to clean up the coffee at the end of the day.  Who is to blame for not turning it off and coffee burning at the bottom of the jug.  Plus we can have a selection of different coffees to suite the tastes for anyone.  We love it.  The Gloria Jean's Hazelnut is a very flavorful, but not a strong coffee.  I prefer the ""Jet-Fuel"" brand, but for the tamer coffee drinkers in the office they swear by it.",5
289,I am not a coffee drinker because I dont like the taste. Cafe Mocha tastes great. Now I can warm up and wake up.,5
290,My mother in law received this tea in as a gift for Christmas and I had a cup and it was delicious.  It was in sealed packets.  This tea is in paper packets like Lipton tea and does not taste any thing like my mother in laws.  Don't be disappointed like I am and save your money and do not buy this product.  Unfortunately I had to open the package to see and taste this so I could not return it.  I would give it no stars but I had to give it one to post.,5
315,Shipping was fast. The taste is great and reminds me of drinking from a real chilled green coconut on the sidewalk in Thailand.,5
316,"Great taste and does not have the weird chalky after taste that other hot cocoa k-cups have.  I've tasted several and this by far is the better one, but I have to say anything larger than 8oz tastes a bit watered down.  Will definitely purchase more, but at the rate my family downs these, we are probably going to stick to the powdered hot cocoa to be more cost effective.",5
321,"Like other reviewers, I had low expectations for this gum, but was happily wrong.  I love key lime pie, and lime flavor in general.  When first chewed, this gum has the tangy-bite of key lime, with a creamy sweetness, and a hint of graham cracker crust flavor.  After the initial flavor burst fades, there is that surge of artificial sugary-sweetness that occurs with some brands/flavors of sugarfree chewing gum, but the surge isn't as overwhelming or long lasting as it is with some sugarfree gums.  Once that fades, the gum has a mellow, subtle, lime zest flavor.  I really like this gum.",5
323,I purchased their Matcha Green Tea Powder Cafe Grade a while back and I fell in love with it. Their powder comes in this little cute reusable tin. The taste of the tea is smooth and not bitter.  I make green tea milkshakes and it is the best that I have purchased. I highly recommend it.  I wish they offer their cafe grade powder in a bigger can. I use to work in a cafe where we had green tea powder in foil bags and they didn't seal well and when we opened the bag we would be covered in green powder and it was such a waste. Plus I really like the tin and want it in a bigger size.,5
329,"If you are a coffee lover, this is the way to go. Grind these fresh beans and make a full strong coffee that is delicious!",5
332,"I drink a couple of cups of strong black coffee every day but rarely a fancy drink from a cafe.  This product is convenient- you can just put it in the refrigerator or open the can and pour it over ice - or both. The taste is smooth and well balanced. It has plenty of caffeine and the right amount of milk and sugar.  I have had a very similar product from Starbucks and I really don't sense much of a difference between the two. I would probably buy whatever is a better value at the time. Again, this product and the product from Starbucks seem to taste the same to me and are of the same high quality.",5
333,I came home from a hot morning in the Arizona sun and opened my illy issimo coffee drink nice and cold from the fridge. I found the expresso taste strong but refreshing and the amount of sweetness just right. Great Product.,5
337,"I'm not generally a huge fan of Keurig coffee makers because they and their K-cups are so expensive. But my girlfriend has one and she ran out of coffee for it. I looked around Amazon and found this item. It sounded promising so I decided to try it. It is the best K-cup of coffee I've ever had (it has a strong, mellow medium roast flavor). And it's also the least expensive I've found. I signed up for a subscription and will probably keep it going. Yum.",5
338,"For fans of black licorice and Ouzo/Oghi, this candy is for you. Very natural tasting and a nice and interesting change from the usual mint. My grandmother got a pack and quickly needed me to buy 6 more, as we haven't been able to find a store that carries it in town",5
341,"I usually order this product from the actual Gevalia site because this flavor is quite yummy.  I also order the Cafe Sperl, which is also known as Viennese coffee.  When you first open the bag, the nose is tickled with the pungent smell of chocolate and a lighter aroma of raspberry.  The coffee tastes unique because of the raspberry flavoring, but it's enjoyable either freshly brewed or chilled.",5
356,"When in Jamaica I drink JBM coffee and have come to develope a fine appreciation for the bean. What I opened this morning was not what I had expected. To be clear, I was greatly dissapointed. I found bits of husk from the bean, which doesn't make coffee, and is considered filler. The flavor left something to be desired as well, it tasted like folgers coffee without all the acid. I was hoping to leave a great review of this product, but honesty forbids it.",5
366,"I really love herbal tea, especially honey and vanilla. But all of Teekanne's teas were tasteless and even if you put two packages in a cup of tea you still get no taste. Now I have three packages of Teakanne (2 relaxing and 1 energizing) and I don't know what to do with it. Surely will not drink it.",5
369,"Green tea is good for you, loaded with antioxidants, boosts your metabolism, yadda, yadda, yadda, but I never quite warmed up to the taste.  Until now.  The lemon and the ginger give this a very nice flavor.  And it is SO great that I can just add a packet to my water bottle and go, without the bother of brewing it.",5
375,I got a box of this tea from a bed and bath and beyond kind of store and really liked it so I came here to buy more expecting a good price on a larger box.  $1 a cup?  And a k-cup isn't even an 8-oz cup?!  Nuts.  You can get a box of 108 from a certain B wholesale J warehouse club for $48.99...45 cents each!  The tea was surprising good for not really 'brewing' but buy it elsewhere cheaper!,5
377,I love simply love it.  It's organic.  It's inexpensive.  It has a wonderful flavor.  This is great hot or cold.,5
379,This is an great green tea choice if you like a blend of different teas.  I thought it was well-balanced and tasted great overall.,5
381,"I recommend this instead for the same price:  Swiss Miss Hot Cocoa Mix, Milk Chocolate, 16-Count Envelopes (Pack of 8)   This thing falls short, I found myself adding some milk or my non-dairy creamers to my cup of this to make it taste somewhat creamy.  It more or less tastes horrible otherwise.  After I hated it, I decided to make it with a cup of hot milk, I just decided to pour it into a hot cup of milk, and it tastes so much better.  In my opinion, they need to up the powdered milk in them, or the non-dairy creamer in them.  It would improve this product so greatly.  They are thieves nonetheless, you usually get 10 envelopes of hot cocoa that tastes better than this in the supermarket for less than five bucks, buy two for less than ten, and still be spending less than what I spent with these.  I really thought I was buying quality, this is definitely not unless I use milk which is like cheating myself and spending extra money.  I've drank common hot cocoa from supermarket straight with water that tasted way better than this.  AVOID!",5
385,"This coffee doesn't necessarily have brand cachet, but it's as good as other coffee I've bought at 2x the price.",5
389,"What constitutes a good coffee is rather subjective. You can read countless reviews about it, but you don't know until you've tried it for yourself.  Having enjoyed peaberry coffee (I think the spherical shape results in better roasting) from many different parts of the world , I gave this a shot based on the positive reviews posted and the great price.  Boy, was I disappointed!  The beans are light/medium in roast, has a mild subdued smell.  The beans looked dry, but this is not uncommon for light roasts.  I made a fine grind of the beans, and brewed it in a press. Sad to say, it was the most disappointing cup of coffee I have had in a long time.  The flavor was stale, without any fruity characteristic of peaberries, and reminded me of a cheap cup of joe from a dirty diner.  The worst part is I am stuck with 3 lbs of terrible coffee that cannot be returned (Amazon does not accept return of food items).",5
396,"My husband and I have each tried drinking this coffee a few times and it tastes bad, a real chemical/artificial taste.  Do not recommend it.  We are throwing away the rest of it, which I don't like to do, but I wouldn't try to pass it off on a friend.",5
405,"I was apprehensive of buying a flavord coffee, I had a bad run-in with a cinnamon flavored coffee recently. This pumpkin spice coffee is very tasty. It smells good and it leaves my dorm room with a plesant aroma. The only downside to this coffee is it is a very light roast.",5
410,"Mixed with ice water, this has a great taste.  For those of you having grown up in Europe, the taste will bring back memories.",5
420,I liked this a lot and will keep this in my tea stock.  The Bergamot is strong and compliments the full bodied earl grey tea well.,5
423,"I am not a coffee drinker, but tea is what wakes me up in the morning. This is a great black tea, with a wonderful flavor.  I french press it to bring out the flavor, this loose leaf tea is perfect for this.  I have never enjoyed a cup of tea more than this one.",5
425,My husband worked for this Oreintal family who gave him a 48 oz package of  NOH Hawaiian Iced Tea . He raved on how good it was . I didnt believe him until I actually tried it . UMMMM great cool taste and refreshing Ice tea . I would definetely recommend,5
434,this is the best coffee if you like a strong cup. a real wake me up,5
437,"For those of you who drink coffee black, i think you are going to love this blend of coffee. It is very delicious and has a great bold flavor.",5
438,"I've been drinking this tea for the past 8 or 10 years, usually buying a box or two when visiting large metropolitan areas, where many Middle-Eastern stores carry loose Ahmad teas, usually at $5-7 for a pound box.  I've always considered it an unremarkable but robust tea, with enough aroma and taste, and beautiful reddish color, perhaps not good enough a tea to drink on its own, but a decent base for mixes. This tea, however, is nothing of the sort. Freshly opened package has almost no characteristic tea smell, and the brewed tea is weak, flat and tasteless.  Somehow it just does not seem to be the same product anymore. So, you get a lot of tea for the money, but the quality is such that you might as well drink Lipton bags, they are not that much worse.",5
449,"I bought these for my husband because he occassionally likes a cup of coffee at home and it is a hassle to drag out the coffee maker and grinder when he only wants one cup and it's not everyday.  It also comes in handy when guests come over, because we don't tend to keep coffee in the house.  Each serving comes in a little pouch that you can easily slip into your pocket, briefcase or travel bag.  The flavor was rich and at around $1.00 a cup, much cheaper than going to Starbucks or anywhere else and grabbing a cup on the way to work.  It dissolves completely leaving no grit or residue.  He first tried it in a 12 ounce mug and found it to be a little strong, but was perfect in his 20 ounce travel mug.  [...]",5
455,"Some similar kinds of flavored coffees have a subtle mint flavor. This is powerful stuff.  In a good way, of course.  It had a very powerful taste of chocolate mint, very fulfilling.  Much better tasting than similar products.  I highly recommend this.",5
459,I got this tea a few days ago and it has great taste...has a mild citrus taste. Love love love! Will come back in 4 weeks to review the weight loss aspect as today is my first day!  Update (almost 2 weeks later): I am still totally in love with this tea and I actually noticed that it suppresses appetite. Great! I have been losing weight but I can't totally attribute it to this tea as I have also been exercising more. But the appetite suppression is a great attribute for me.,5
463,"This tea has the real flavor of pumpkin.  It is nicely spiced and perfect for an autumn afternoon.  It is quite highly caffeinated so I do not drink it late at night.  But overall, a lovely tea.",5
467,"I tried the Martha White Turtle Fudge Chocolate Chip Cookie recipe and these are the worst cookies I have ever made. Either there is someone on the staff of Martha White who has a lopsided sense of humor OR their taste buds have taken a permanent vacation. I wasted my time, a lot of money on chocolate and pecans,and my effort.Martha White either needs to tweek this recipe or take it off the website so no other unsuspecting housewife will waste her money and time on these worthless cookies. My husband picked up one on his way through the kitchen and within two seconds he came back in and threw it in the garbage.",5
471,"It tastes great, dissolves just fine, and provides the jolt I need to start my day.",5
472,I had expected the peach tea to taste like peach and it does not.  Very disappointed.,5
496,"This coffee was delicious! I actually purchased it as a gift, but since I paid $30 for 1 lb of coffee, I tasted the freakin coffee!  It was so good! I meant to purchase the light roast, but accidentally ordered the medium. It was full bodied and delicious, totally lacking the high acidity that you find with most commercial coffees. I can't afford 100% pure Kona all the time and normally buy blends, but this coffee is the delicious gourmet coffee you need to buy and keep for company or to treat yourself now and then.",5
498,"What a great thing to wake up to....I feel these k-cups are of medium strength, with just enough of Kahula..",5
510,"Really enjoyed ordering and using this coffee. Reminds me of expresso in coffee shops throughout italy. I've never really used pre-packed coffee before as I've always preferred freshly ground. However, this taste fresh and yummy. Great head, not bitter, but still has good depth. Will continue to order every time I need more coffee.  [...]",5
517,I just made myself a cup of this coffee and I think I found a new favorite brand. When I opened the bag I noticed the pleasant vanilla aroma which wasn't too sweet and overpowering like other brands. I used my french press to brew the coffee which I wouldn't recommend. The grounds are extra fine and the filter doesn't completely seperate the liquid from the grounds. I mixed the finished cup of coffee with some milk and it tasted just like flavored vanilla coffee but without the syrup or sugar. I really liked the taste it was mild but without any traces of bitterness. Definitely a good alternative to my usual starbucks coffee.,5
518,"I really liked this a change up from strictly white tea.  Very expensive though, so will only order every once in awhile as a treat.",5
519,Needless to say these cookies didn't last long once they were opened. They reminded my wife of the Tagalongs the Girl Scouts used to sell.  Very smooth fudge coating and that oh-so-lovely Oreo crunch. I could eat these all day.  Viva la Oreo!,5
523,"I am a huge peppermint lover!  I am also a bit of a picky person when it comes to drink mixes.  For me, many end up being powdery and not as creamy and tasty as I would like.  That was not the case with Maxwell House International Coffee Peppermint Mocha Latte mix.  Once you find just the right mixture of powder and hot water, you are good to go.  The container states 4 tsp to 6 - 8 oz of boiling water.  Well, I always have a big mug when I drink, which is about double this.  Not a problem - I usually use 8 tsp for my 16 oz. mug and it turns out great.  The peppermint flavor is amazingly refreshing and so delicious.  It is not overpowering, yet is strong enough that the drinker knows it is peppermint flavored.  For me, this is one of the perfect ways to treat myself after a crazy or hectic day.  Curling up with a mug of this peppermint mocha latte and a great book makes a blissful evening!  I highly recommend this mix to anyone who enjoys peppermint and chocolate.",5
525,THE COFFEE MAKER WORKS FINE. I AM NOT IMPRESSED WITH THE TASTE OF THE COFFEE. IT TASTES TOO MUCH LIKE INSTANT.,5
539,I bought this item thinking it might be equivilent to Starbucks or Davinci Hazelnut syrup but it's not. At first it tastes like Hazelnut then you get the flavor of cheap pancake syrup followed by an aftertaste that can best be described as tasting stale. The price is only slightly better than what I can get the Davinci Brand at Sam's club but the quality is far lower in my opinion. For hazelnut fans I suggest avoiding this particular brand.,5
544,"If you love the flavor of toasted pecans, this coffee is for you.  Great flavor, good coffee taste.  It was very easy to brew the right strength. What a pleasure to wake up to the smell of toasted pecans and freshly brewed coffee! This is the second time I've purchased this coffee and I'll definitely do it again.",5
545,"To see all the one-star reviews is quite surprising. Mixed with water, this stuff tastes great. I'm not sure what some reviewers are expecting, but it does taste like a good glass of kool aid. Who doesn't like kool aid??? Anyway, it's main source that will keep you alert is the green tea extract, which is pretty much caffeine. But it's a smooth transition somehow, not like drinking coffee or soda. Anyway, not bad at all if you need a little pick me up. Got lots of vitamins in there too.",5
548,I can't get decaf at the stores here and love this tea.  I am now well supplied and can share a box or 2 with friends.  You can make it with just water or for a special treat use 1/2 milk.  Add some honey and top with whipped cream - very decadent!  The price is very good and I got free shipping.,5
560,"I LOVE Green Mountain coffee.  I use it all the time for my k cups.  I got a sample of the Green Mountain Hot Cocoa and thought it would be the best.  I actually threw it out.  I tried several times to drink it.  It tasted bitter and like chemicals.  I have tried samples of the other brands of hot cocoa and this by far was the worst.  I was so surprised because I adore their coffee.  I personally would not recommend this.  Maybe it is the soy I don't know.  It just tasted very, very odd.  I still would recommend their coffees though!  Just to be fair I did add chocolate redi whip.  But I add that to all of my hot cocoa and it always tastes good.",5
571,"This is a much better tasting instant tea than anything else Lipton currently makes.  It is not as convenient coming in the big jar vs. the individual packets but the taste is well worth it.  Lightly sweet, with just a hint of tea.  Highly recommend!!",5
